"Timestamp","Sent Polls","Lost Polls","Min Latency (ns)","Ave Latency (ns)","Max Latency (ns)","Score"
"2025-06-20 00:00:00","100","0","14100000","18510000","23520000","1"
"2025-06-20 00:01:00","100","0","16620000","18730000","21400000","1"
"2025-06-20 00:03:00","100","0","15880000","18720000","27150000","1"
"2025-06-20 00:05:00","100","0","12260000","19070000","26340000","1"
"2025-06-20 00:06:00","100","0","12040000","18700000","25080000","1"
"2025-06-20 00:08:00","100","0","13050000","18970000","26270000","1"
"2025-06-20 00:10:00","100","0","15750000","18950000","26010000","1"
"2025-06-20 00:11:00","100","0","15120000","18890000","28340000","1"
"2025-06-20 00:13:00","100","0","16700000","19150000","37360000","1"
"2025-06-20 00:15:00","100","0","16660000","18560000","23960000","1"
"2025-06-20 00:16:00","100","0","16660000","18520000","24050000","1"
"2025-06-20 00:18:00","100","0","16690000","18560000","27300000","1"
"2025-06-20 00:20:00","100","0","16700000","18390000","23380000","1"
"2025-06-20 00:21:00","100","0","13890000","18380000","24060000","1"
"2025-06-20 00:23:00","100","0","16780000","18660000","26510000","1"
"2025-06-20 00:25:00","100","0","14510000","18720000","27280000","1"
"2025-06-20 00:26:00","100","2","16800000","18740000","27290000","201"
"2025-06-20 00:28:00","100","0","14640000","18420000","24670000","1"
"2025-06-20 00:30:00","100","0","14460000","18110000","34360000","1"
"2025-06-20 00:31:00","100","0","16450000","18560000","26290000","1"
"2025-06-20 00:33:00","100","0","14920000","19330000","36330000","1"
"2025-06-20 00:35:00","100","0","13290000","19420000","33860000","1"
"2025-06-20 00:36:00","100","0","16370000","19130000","29880000","1"
"2025-06-20 00:38:00","100","0","14180000","19500000","28600000","1"
"2025-06-20 00:40:00","100","1","16410000","18900000","30910000","201"
"2025-06-20 00:41:00","100","1","14000000","19330000","34650000","201"
"2025-06-20 00:43:00","100","0","16320000","18640000","28510000","1"
"2025-06-20 00:45:00","100","0","16480000","18910000","28390000","1"
"2025-06-20 00:46:00","100","1","14250000","19030000","27060000","201"
"2025-06-20 00:48:00","100","0","15290000","19090000","28820000","1"
"2025-06-20 00:50:00","100","0","14250000","19470000","30350000","1"
