"Timestamp","Sent Polls","Lost Polls","Min Latency (ns)","Ave Latency (ns)","Max Latency (ns)","Score"
"2025-06-26 00:00:00","100","0","12780000","19150000","27150000","1"
"2025-06-26 00:01:00","100","0","16330000","31660000","60010000","1"
"2025-06-26 00:03:00","100","0","16870000","26070000","62270000","1"
"2025-06-26 00:05:00","100","0","14140000","18900000","26520000","1"
"2025-06-26 00:06:00","100","0","14020000","19000000","26570000","1"
"2025-06-26 00:08:00","100","0","12810000","18840000","26300000","1"
"2025-06-26 00:10:00","100","0","15980000","19030000","28520000","1"
"2025-06-26 00:11:00","100","0","16640000","19120000","26410000","1"
"2025-06-26 00:13:00","100","0","16140000","19000000","25020000","1"
"2025-06-26 00:15:00","100","0","16520000","19150000","26090000","1"
"2025-06-26 00:16:00","100","0","16230000","19280000","26250000","1"
"2025-06-26 00:18:00","100","0","13870000","19460000","27950000","1"
"2025-06-26 00:20:00","100","0","16440000","19070000","26330000","1"
"2025-06-26 00:21:00","100","0","15110000","18770000","27090000","1"
"2025-06-26 00:23:00","100","0","14120000","19180000","35150000","1"
"2025-06-26 00:25:00","100","0","16770000","19830000","29270000","1"
"2025-06-26 00:26:00","100","0","13280000","19450000","27410000","1"
"2025-06-26 00:28:00","100","0","13290000","19200000","26100000","1"
"2025-06-26 00:30:00","100","0","13390000","19450000","26170000","1"
"2025-06-26 00:31:00","100","0","13410000","19260000","27000000","1"
"2025-06-26 00:33:00","100","0","13870000","19630000","26400000","1"
"2025-06-26 00:35:00","100","0","13330000","19540000","26110000","1"
"2025-06-26 00:36:00","100","0","14130000","19500000","26120000","1"
"2025-06-26 00:38:00","100","0","15810000","19340000","27810000","1"
"2025-06-26 00:40:00","100","0","13790000","19590000","29420000","1"
"2025-06-26 00:41:00","100","0","15840000","19300000","26620000","1"
"2025-06-26 00:43:00","100","0","12660000","19800000","26730000","1"
"2025-06-26 00:45:00","100","0","16550000","19340000","25670000","1"
"2025-06-26 00:46:00","100","0","13590000","19490000","26270000","1"
"2025-06-26 00:48:00","100","0","12860000","19380000","26660000","1"
"2025-06-26 00:50:00","100","0","16120000","19200000","24860000","1"
"2025-06-26 00:51:00","100","0","16030000","18980000","26110000","1"
"2025-06-26 00:53:00","100","0","13310000","20450000","43950000","1"
"2025-06-26 00:55:00","100","0","16740000","19840000","29320000","1"
"2025-06-26 00:56:00","100","0","16500000","19500000","26970000","1"
"2025-06-26 00:58:00","100","0","12990000","18920000","28090000","1"
"2025-06-26 01:00:00","100","0","16490000","19980000","34850000","1"
"2025-06-26 01:01:00","100","0","16410000","19470000","35170000","1"
"2025-06-26 01:03:00","100","0","16630000","19090000","28950000","1"
"2025-06-26 01:05:00","100","0","13340000","19600000","37960000","1"
"2025-06-26 01:06:00","100","0","13880000","19170000","28800000","1"
"2025-06-26 01:08:00","100","0","16930000","19810000","33540000","1"
"2025-06-26 01:10:00","100","0","14380000","20020000","35210000","1"
"2025-06-26 01:11:00","100","0","16550000","19410000","30280000","1"
"2025-06-26 01:13:00","100","0","16700000","19460000","30420000","1"
"2025-06-26 01:15:00","100","0","14520000","19120000","31160000","1"
"2025-06-26 01:16:00","100","0","16270000","19480000","38500000","1"
"2025-06-26 01:18:00","100","0","17000000","19350000","30050000","1"
"2025-06-26 01:20:00","100","0","16890000","19330000","31460000","1"
"2025-06-26 01:21:00","100","0","13880000","18980000","29990000","1"
"2025-06-26 01:23:00","100","0","16700000","19230000","28240000","1"
"2025-06-26 01:25:00","100","0","16730000","19440000","30270000","1"
"2025-06-26 01:26:00","100","0","16520000","19490000","35720000","1"
"2025-06-26 01:28:00","100","0","15750000","19850000","32310000","1"
"2025-06-26 01:30:00","100","0","13920000","19330000","35550000","1"
"2025-06-26 01:31:00","100","0","16950000","19330000","37030000","1"
"2025-06-26 01:33:00","100","0","16950000","18780000","32050000","1"
"2025-06-26 01:35:00","100","0","16280000","19080000","28680000","1"
"2025-06-26 01:36:00","100","0","13550000","19360000","29420000","1"
"2025-06-26 01:38:00","100","0","13330000","19200000","34480000","1"
"2025-06-26 01:40:00","100","0","12460000","19170000","27030000","1"
"2025-06-26 01:41:00","100","0","17010000","19300000","29970000","1"
"2025-06-26 01:43:00","100","0","15810000","19500000","28750000","1"
"2025-06-26 01:45:00","100","0","13740000","19060000","28270000","1"
"2025-06-26 01:46:00","100","0","16650000","19300000","37430000","1"
"2025-06-26 01:48:00","100","0","14140000","18890000","26350000","1"
"2025-06-26 01:50:00","100","0","13370000","18850000","26080000","1"
"2025-06-26 01:51:00","100","0","13390000","18970000","25340000","1"
"2025-06-26 01:53:00","100","0","16940000","19030000","28540000","1"
"2025-06-26 01:55:00","100","0","14140000","20260000","44810000","1"
"2025-06-26 01:56:00","100","0","17230000","19910000","29460000","1"
"2025-06-26 01:58:00","100","0","16570000","19020000","36510000","1"
"2025-06-26 02:00:00","100","0","13910000","19200000","30040000","1"
"2025-06-26 02:01:00","100","0","13360000","18860000","33340000","1"
"2025-06-26 02:03:00","100","0","16680000","19610000","33080000","1"
"2025-06-26 02:05:00","100","0","13190000","19850000","43560000","1"
"2025-06-26 02:06:00","100","0","16600000","19090000","31430000","1"
"2025-06-26 02:08:00","100","0","16800000","19590000","29120000","1"
"2025-06-26 02:10:00","100","0","16460000","18790000","26720000","1"
"2025-06-26 02:11:00","100","0","16460000","19120000","27290000","1"
"2025-06-26 02:13:00","100","0","16600000","18800000","26430000","1"
"2025-06-26 02:15:00","100","0","16690000","18570000","28000000","1"
"2025-06-26 02:16:00","100","0","16620000","18710000","26760000","1"
"2025-06-26 02:18:00","100","0","13710000","19080000","27920000","1"
"2025-06-26 02:20:00","100","0","16610000","19330000","30890000","1"
"2025-06-26 02:21:00","100","0","16510000","18810000","27390000","1"
"2025-06-26 02:23:00","100","0","13510000","18510000","21170000","1"
"2025-06-26 02:25:00","100","0","16540000","18480000","26330000","1"
"2025-06-26 02:26:00","100","0","15940000","19050000","26610000","1"
"2025-06-26 02:28:00","100","0","16640000","19340000","27170000","1"
"2025-06-26 02:30:00","100","0","13690000","20870000","33440000","1"
"2025-06-26 02:31:00","100","0","16680000","18960000","26130000","1"
"2025-06-26 02:33:00","100","0","14390000","19000000","26460000","1"
"2025-06-26 02:35:00","100","0","16730000","18880000","27190000","1"
"2025-06-26 02:36:00","100","0","16070000","19330000","36800000","1"
"2025-06-26 02:38:00","100","0","13640000","18430000","26660000","1"
"2025-06-26 02:40:00","100","0","16070000","18340000","25450000","1"
"2025-06-26 02:41:00","100","0","16760000","18910000","29670000","1"
"2025-06-26 02:43:00","100","0","13770000","18460000","24260000","1"
"2025-06-26 02:45:00","100","0","15330000","18520000","26700000","1"
"2025-06-26 02:46:00","100","0","16810000","18660000","24180000","1"
"2025-06-26 02:48:00","100","0","16810000","18410000","25550000","1"
"2025-06-26 02:50:00","100","0","16540000","18440000","26730000","1"
"2025-06-26 02:51:00","100","0","16770000","18660000","28930000","1"
"2025-06-26 02:53:00","100","0","14290000","19010000","28480000","1"
"2025-06-26 02:55:00","100","0","16840000","18440000","27580000","1"
"2025-06-26 02:56:00","100","0","13770000","18410000","24370000","1"
"2025-06-26 02:58:00","100","0","16710000","18870000","27060000","1"
"2025-06-26 03:00:00","100","0","16820000","18810000","36510000","1"
"2025-06-26 03:01:00","100","0","16740000","19500000","48490000","1"
"2025-06-26 03:03:00","100","0","15460000","20460000","52490000","1"
"2025-06-26 03:05:00","100","0","16590000","19010000","31360000","1"
"2025-06-26 03:06:00","100","0","16460000","18790000","27500000","1"
"2025-06-26 03:08:00","100","0","16980000","19630000","34700000","1"
"2025-06-26 03:10:00","100","0","16220000","20450000","40740000","1"
"2025-06-26 03:11:00","100","0","15850000","19210000","30900000","1"
"2025-06-26 03:13:00","100","0","16930000","18570000","26860000","1"
"2025-06-26 03:15:00","100","0","14880000","18920000","26890000","1"
"2025-06-26 03:16:00","100","0","16980000","19460000","30470000","1"
"2025-06-26 03:18:00","100","0","16950000","18710000","36200000","1"
"2025-06-26 03:20:00","100","0","15960000","19060000","29010000","1"
"2025-06-26 03:21:00","100","0","16650000","18870000","32340000","1"
"2025-06-26 03:23:00","100","0","16700000","19080000","28650000","1"
"2025-06-26 03:25:00","100","0","15130000","19290000","37780000","1"
"2025-06-26 03:26:00","100","0","12880000","19070000","28920000","1"
"2025-06-26 03:28:00","100","0","16920000","19190000","35370000","1"
"2025-06-26 03:30:00","100","0","16700000","18620000","27270000","1"
"2025-06-26 03:31:00","100","0","16190000","18450000","27700000","1"
"2025-06-26 03:33:00","100","0","16670000","18810000","28820000","1"
"2025-06-26 03:35:00","100","0","17000000","18810000","31610000","1"
"2025-06-26 03:36:00","100","0","16390000","19150000","28200000","1"
"2025-06-26 03:38:00","100","0","16950000","18770000","38830000","1"
"2025-06-26 03:40:00","100","0","13280000","19310000","30250000","1"
"2025-06-26 03:41:00","100","0","12710000","18910000","38550000","1"
"2025-06-26 03:43:00","100","0","15990000","18520000","27800000","1"
"2025-06-26 03:45:00","100","0","16880000","18070000","24200000","1"
"2025-06-26 03:46:00","100","0","16880000","18550000","27400000","1"
"2025-06-26 03:48:00","100","0","16860000","18400000","24310000","1"
"2025-06-26 03:50:00","100","0","16910000","18280000","27490000","1"
"2025-06-26 03:51:00","100","0","13940000","18580000","29890000","1"
"2025-06-26 03:53:00","100","0","14900000","18370000","25180000","1"
"2025-06-26 03:55:00","100","0","16930000","18570000","26550000","1"
"2025-06-26 03:56:00","100","0","12880000","18140000","24290000","1"
"2025-06-26 03:58:00","100","0","14240000","18340000","29780000","1"
"2025-06-26 04:00:00","100","0","12370000","18250000","24540000","1"
"2025-06-26 04:01:00","100","0","15700000","18580000","25970000","1"
"2025-06-26 04:03:00","100","0","13770000","18540000","23520000","1"
"2025-06-26 04:05:00","100","0","16680000","18980000","30140000","1"
"2025-06-26 04:06:00","100","0","16580000","18590000","24200000","1"
"2025-06-26 04:08:00","100","0","14300000","18850000","35990000","1"
"2025-06-26 04:10:00","100","0","16240000","18610000","32610000","1"
"2025-06-26 04:11:00","100","0","13930000","18520000","33090000","1"
"2025-06-26 04:13:00","100","0","16580000","18510000","24390000","1"
"2025-06-26 04:15:00","100","0","14040000","18170000","23680000","1"
"2025-06-26 04:16:00","100","0","16470000","18260000","27160000","1"
"2025-06-26 04:18:00","100","0","14020000","17810000","23980000","1"
"2025-06-26 04:20:00","100","0","16940000","18050000","24330000","1"
"2025-06-26 04:21:00","100","0","16530000","18500000","24360000","1"
"2025-06-26 04:23:00","100","0","16940000","17980000","24370000","1"
"2025-06-26 04:25:00","100","0","16730000","18100000","28420000","1"
"2025-06-26 04:26:00","100","0","14080000","18170000","27350000","1"
"2025-06-26 04:28:00","100","0","16940000","18230000","24720000","1"
"2025-06-26 04:30:00","100","0","13950000","18200000","26810000","1"
"2025-06-26 04:31:00","100","0","16960000","18420000","26770000","1"
"2025-06-26 04:33:00","100","0","15110000","18230000","27490000","1"
"2025-06-26 04:35:00","100","0","16980000","18450000","34350000","1"
"2025-06-26 04:36:00","100","0","16980000","18410000","30630000","1"
"2025-06-26 04:38:00","100","0","14750000","18300000","26270000","1"
"2025-06-26 04:40:00","100","0","16100000","18550000","28610000","1"
"2025-06-26 04:41:00","100","0","12570000","18230000","27970000","1"
"2025-06-26 04:43:00","100","0","16370000","19520000","29530000","1"
"2025-06-26 04:45:00","100","0","15770000","19290000","29090000","1"
"2025-06-26 04:46:00","100","0","15200000","19530000","26900000","1"
"2025-06-26 04:48:00","100","0","14070000","18320000","24710000","1"
"2025-06-26 04:50:00","100","0","14050000","18360000","26680000","1"
"2025-06-26 04:51:00","100","0","14010000","18120000","27690000","1"
"2025-06-26 04:53:00","100","0","14730000","19160000","30550000","1"
"2025-06-26 04:55:00","100","0","13980000","19770000","29960000","1"
"2025-06-26 04:56:00","100","0","14940000","18860000","36500000","1"
"2025-06-26 04:58:00","100","0","14050000","18510000","24340000","1"
"2025-06-26 05:00:00","100","0","13990000","19610000","30710000","1"
"2025-06-26 05:01:00","100","0","14890000","18310000","23300000","1"
"2025-06-26 05:03:00","100","0","15720000","18490000","24430000","1"
"2025-06-26 05:05:00","100","0","14550000","18980000","25520000","1"
"2025-06-26 05:06:00","100","0","16860000","18330000","24580000","1"
"2025-06-26 05:08:00","100","0","16870000","18850000","26530000","1"
"2025-06-26 05:10:00","100","0","16980000","18340000","28440000","1"
"2025-06-26 05:11:00","100","0","13960000","18050000","27800000","1"
"2025-06-26 05:13:00","100","0","16270000","18330000","22170000","1"
"2025-06-26 05:15:00","100","0","17140000","18190000","27860000","1"
"2025-06-26 05:16:00","100","0","14020000","19420000","30200000","1"
"2025-06-26 05:18:00","100","0","14230000","18320000","24320000","1"
"2025-06-26 05:20:00","100","0","14010000","18320000","27590000","1"
"2025-06-26 05:21:00","100","0","13410000","18540000","24700000","1"
"2025-06-26 05:23:00","100","0","17130000","18190000","23870000","1"
"2025-06-26 05:25:00","100","0","17120000","18050000","21410000","1"
"2025-06-26 05:26:00","100","0","14140000","18080000","27720000","1"
"2025-06-26 05:28:00","100","0","17120000","18430000","27850000","1"
"2025-06-26 05:30:00","100","0","17180000","18500000","24690000","1"
"2025-06-26 05:31:00","100","0","14930000","18150000","26230000","1"
"2025-06-26 05:33:00","100","0","17180000","18010000","24530000","1"
"2025-06-26 05:35:00","100","0","14800000","18440000","27050000","1"
"2025-06-26 05:36:00","100","0","17190000","18460000","24810000","1"
"2025-06-26 05:38:00","100","0","16580000","18380000","28350000","1"
"2025-06-26 05:40:00","100","0","16540000","18660000","27660000","1"
"2025-06-26 05:41:00","100","0","16330000","18030000","27280000","1"
"2025-06-26 05:43:00","100","0","16040000","18070000","24840000","1"
"2025-06-26 05:45:00","100","0","17240000","18340000","24730000","1"
"2025-06-26 05:46:00","100","0","15610000","18420000","24570000","1"
"2025-06-26 05:48:00","100","0","14270000","18460000","24660000","1"
"2025-06-26 05:50:00","100","0","14350000","18480000","24590000","1"
"2025-06-26 05:51:00","100","0","14290000","18770000","27020000","1"
"2025-06-26 05:53:00","100","0","16640000","18910000","30810000","1"
"2025-06-26 05:55:00","100","0","16060000","18730000","25340000","1"
"2025-06-26 05:56:00","100","0","13480000","28950000","82330000","1"
"2025-06-26 05:58:00","100","0","14240000","23200000","77680000","1"
"2025-06-26 06:00:00","100","0","14220000","19020000","28280000","1"
"2025-06-26 06:01:00","100","0","13250000","18710000","40590000","1"
"2025-06-26 06:03:00","100","0","14490000","18910000","37100000","1"
"2025-06-26 06:05:00","100","0","13460000","27210000","822000000","1"
"2025-06-26 06:06:00","100","0","16290000","19340000","35220000","1"
"2025-06-26 06:08:00","100","0","14790000","19330000","36890000","1"
"2025-06-26 06:10:00","100","0","14360000","19710000","29040000","1"
"2025-06-26 06:11:00","100","0","15410000","19090000","28540000","1"
"2025-06-26 06:13:00","100","0","15770000","19660000","39650000","1"
"2025-06-26 06:15:00","100","0","14160000","19660000","37810000","1"
"2025-06-26 06:16:00","100","0","16080000","19570000","31270000","1"
"2025-06-26 06:18:00","100","0","13840000","19390000","33800000","1"
"2025-06-26 06:20:00","100","0","13370000","19350000","32140000","1"
"2025-06-26 06:21:00","100","0","12590000","19210000","36620000","1"
"2025-06-26 06:23:00","100","0","16780000","19770000","36490000","1"
"2025-06-26 06:25:00","100","0","16140000","19300000","36070000","1"
"2025-06-26 06:26:00","100","0","16700000","18930000","28410000","1"
"2025-06-26 06:28:00","100","0","15130000","19050000","29470000","1"
"2025-06-26 06:30:00","100","0","15740000","19210000","46380000","1"
"2025-06-26 06:31:00","100","0","14420000","20140000","50380000","1"
"2025-06-26 06:33:00","100","0","16060000","19550000","34700000","1"
"2025-06-26 06:35:00","100","0","16320000","18960000","28700000","1"
"2025-06-26 06:36:00","100","0","16680000","18910000","26390000","1"
"2025-06-26 06:38:00","100","0","16340000","18550000","25230000","1"
"2025-06-26 06:40:00","100","0","16190000","18490000","25330000","1"
"2025-06-26 06:41:00","100","0","14740000","18600000","25420000","1"
"2025-06-26 06:43:00","100","0","15450000","18620000","25710000","1"
"2025-06-26 06:45:00","100","0","17740000","18740000","25150000","1"
"2025-06-26 06:46:00","100","0","15960000","18620000","24420000","1"
"2025-06-26 06:48:00","100","0","15460000","18980000","27350000","1"
"2025-06-26 06:50:00","100","0","14840000","18970000","27580000","1"
"2025-06-26 06:51:00","100","0","16640000","18800000","27800000","1"
"2025-06-26 06:53:00","100","0","16960000","19080000","25290000","1"
"2025-06-26 06:55:00","100","0","16600000","19040000","27830000","1"
"2025-06-26 06:56:00","100","0","15930000","18760000","26150000","1"
"2025-06-26 06:58:00","100","0","16340000","19600000","35620000","1"
"2025-06-26 07:00:00","100","0","16590000","19430000","30320000","1"
"2025-06-26 07:01:00","100","0","15010000","18920000","27410000","1"
"2025-06-26 07:03:00","100","0","14570000","19530000","31540000","1"
"2025-06-26 07:05:00","100","0","16410000","18760000","26770000","1"
"2025-06-26 07:06:00","100","0","15570000","19160000","27150000","1"
"2025-06-26 07:08:00","100","0","15420000","19190000","26700000","1"
"2025-06-26 07:10:00","100","0","15740000","18890000","25790000","1"
"2025-06-26 07:11:00","100","0","16420000","18990000","28100000","1"
"2025-06-26 07:13:00","100","0","12700000","18710000","24220000","1"
"2025-06-26 07:15:00","100","0","16350000","18690000","25070000","1"
"2025-06-26 07:16:00","100","0","16580000","19370000","27680000","1"
"2025-06-26 07:18:00","100","0","12750000","19280000","28810000","1"
"2025-06-26 07:20:00","100","0","16570000","19040000","28720000","1"
"2025-06-26 07:21:00","100","0","15080000","19220000","29520000","1"
"2025-06-26 07:23:00","100","0","15650000","18580000","28420000","1"
"2025-06-26 07:25:00","100","0","16050000","18830000","26280000","1"
"2025-06-26 07:26:00","100","0","16310000","18610000","25410000","1"
"2025-06-26 07:28:00","100","0","16560000","18910000","25660000","1"
"2025-06-26 07:30:00","100","0","16180000","18460000","23950000","1"
"2025-06-26 07:31:00","100","0","16620000","18960000","25970000","1"
"2025-06-26 07:33:00","100","0","15120000","19050000","25600000","1"
"2025-06-26 07:35:00","100","0","12480000","18680000","22600000","1"
"2025-06-26 07:36:00","100","0","13120000","18630000","28740000","1"
"2025-06-26 07:38:00","100","0","12190000","19620000","28100000","1"
"2025-06-26 07:40:00","100","0","12770000","20560000","49040000","1"
"2025-06-26 07:41:00","100","0","13210000","19730000","27500000","1"
"2025-06-26 07:43:00","100","0","12910000","20030000","25570000","1"
"2025-06-26 07:45:00","100","0","15460000","20020000","38870000","1"
"2025-06-26 07:46:00","100","0","13560000","19510000","25590000","1"
"2025-06-26 07:48:00","100","0","13070000","20060000","31140000","1"
"2025-06-26 07:50:00","100","0","14900000","19340000","30230000","1"
"2025-06-26 07:51:00","100","0","15470000","19640000","26530000","1"
"2025-06-26 07:53:00","100","0","13060000","19820000","34510000","1"
"2025-06-26 07:55:00","100","0","12760000","19910000","32940000","1"
"2025-06-26 07:56:00","100","0","12410000","19780000","35570000","1"
"2025-06-26 07:58:00","100","0","13630000","19480000","29150000","1"
"2025-06-26 08:00:00","100","0","16130000","19620000","37320000","1"
"2025-06-26 08:01:00","100","0","12470000","19260000","28280000","1"
"2025-06-26 08:03:00","100","0","15190000","19240000","28870000","1"
"2025-06-26 08:05:00","100","0","16420000","19610000","32510000","1"
"2025-06-26 08:06:00","100","0","14330000","19140000","26680000","1"
"2025-06-26 08:08:00","100","0","13850000","19970000","33440000","1"
