"Timestamp","Sent Polls","Lost Polls","Min Latency (ns)","Ave Latency (ns)","Max Latency (ns)","Score"
"2025-06-23 00:00:00","100","0","16410000","18970000","28380000","1"
"2025-06-23 00:01:00","100","0","16370000","19300000","48860000","1"
"2025-06-23 00:03:00","100","0","15170000","19040000","36630000","1"
"2025-06-23 00:05:00","100","0","16350000","19780000","29400000","1"
"2025-06-23 00:06:00","100","0","16580000","19470000","30080000","1"
"2025-06-23 00:08:00","100","0","12960000","19670000","30190000","1"
"2025-06-23 00:10:00","100","0","16650000","19430000","35100000","1"
"2025-06-23 00:11:00","100","0","14630000","18830000","35200000","1"
"2025-06-23 00:13:00","100","0","16940000","20150000","30110000","1"
"2025-06-23 00:15:00","100","0","16300000","20130000","29620000","1"
"2025-06-23 00:16:00","100","0","14280000","20020000","33950000","1"
"2025-06-23 00:18:00","100","0","16650000","20230000","29590000","1"
"2025-06-23 00:20:00","100","0","15620000","19540000","28900000","1"
"2025-06-23 00:21:00","100","0","15680000","20180000","38130000","1"
"2025-06-23 00:23:00","100","0","12780000","19870000","29430000","1"
"2025-06-23 00:25:00","100","0","16480000","19810000","37170000","1"
"2025-06-23 00:26:00","100","0","13830000","20650000","37830000","1"
"2025-06-23 00:28:00","100","0","15510000","19340000","36840000","1"
"2025-06-23 00:30:00","100","0","16160000","19810000","31910000","1"
"2025-06-23 00:31:00","100","0","16700000","19360000","28290000","1"
"2025-06-23 00:33:00","100","0","16540000","18860000","27250000","1"
"2025-06-23 00:35:00","100","0","16700000","18650000","26520000","1"
"2025-06-23 00:36:00","100","0","13980000","19380000","28060000","1"
"2025-06-23 00:38:00","100","0","16680000","19490000","57640000","1"
"2025-06-23 00:40:00","100","0","15800000","19630000","33020000","1"
"2025-06-23 00:41:00","100","0","12640000","18930000","37110000","1"
"2025-06-23 00:43:00","100","0","16740000","18900000","27650000","1"
"2025-06-23 00:45:00","100","0","16600000","18960000","48640000","1"
"2025-06-23 00:46:00","100","0","15240000","18880000","26650000","1"
"2025-06-23 00:48:00","100","0","16080000","20240000","35320000","1"
"2025-06-23 00:50:00","100","0","16810000","19770000","30230000","1"
"2025-06-23 00:51:00","100","0","15640000","19730000","32620000","1"
"2025-06-23 00:53:00","100","0","16320000","20170000","44870000","1"
"2025-06-23 00:55:00","100","0","12600000","20230000","33450000","1"
"2025-06-23 00:56:00","100","0","14210000","20200000","30320000","1"
"2025-06-23 00:58:00","100","0","16750000","20160000","39560000","1"
"2025-06-23 01:00:00","100","0","16600000","19460000","34970000","1"
"2025-06-23 01:01:00","100","0","16660000","19090000","28590000","1"
"2025-06-23 01:03:00","100","0","16470000","19910000","37890000","1"
"2025-06-23 01:05:00","100","0","16170000","19200000","29100000","1"
"2025-06-23 01:06:00","100","0","16800000","19460000","28300000","1"
"2025-06-23 01:08:00","100","0","14150000","20280000","42710000","1"
"2025-06-23 01:10:00","100","0","13430000","20080000","33270000","1"
"2025-06-23 01:11:00","100","0","16330000","19320000","29260000","1"
"2025-06-23 01:13:00","100","0","16380000","20700000","38170000","1"
"2025-06-23 01:15:00","100","0","16710000","19500000","27110000","1"
"2025-06-23 01:16:00","100","0","13890000","19310000","28300000","1"
"2025-06-23 01:18:00","100","0","13620000","19640000","30680000","1"
"2025-06-23 01:20:00","100","0","16440000","19120000","27420000","1"
"2025-06-23 01:21:00","100","0","12480000","19180000","24280000","1"
"2025-06-23 01:23:00","100","0","16530000","19670000","26640000","1"
"2025-06-23 01:25:00","100","0","16000000","20670000","35030000","1"
"2025-06-23 01:26:00","100","0","15280000","19720000","30030000","1"
"2025-06-23 01:28:00","100","0","17230000","19350000","30560000","1"
"2025-06-23 01:30:00","100","0","16400000","19690000","28020000","1"
"2025-06-23 01:31:00","100","0","16530000","19180000","27420000","1"
"2025-06-23 01:33:00","100","0","15910000","19720000","29860000","1"
"2025-06-23 01:35:00","100","0","16160000","19680000","27970000","1"
"2025-06-23 01:36:00","100","0","16430000","19740000","26550000","1"
"2025-06-23 01:38:00","100","0","12720000","19260000","27760000","1"
"2025-06-23 01:40:00","100","0","12750000","19550000","25600000","1"
