"Timestamp","Sent Polls","Lost Polls","Min Latency (ns)","Ave Latency (ns)","Max Latency (ns)","Score"
"2025-06-05 00:00:00","100","1","16440000","19050000","25670000","201"
"2025-06-05 00:01:00","100","0","12200000","19500000","31810000","1"
"2025-06-05 00:03:00","100","0","14020000","19170000","28790000","1"
"2025-06-05 00:05:00","100","0","15360000","19320000","25900000","1"
"2025-06-05 00:06:00","100","0","13330000","19420000","28150000","1"
"2025-06-05 00:08:00","100","0","15290000","19350000","27310000","1"
"2025-06-05 00:10:00","100","0","12190000","19150000","25670000","1"
"2025-06-05 00:11:00","100","3","16240000","19390000","32760000","301"
"2025-06-05 00:13:00","100","1","12860000","19350000","32740000","201"
"2025-06-05 00:15:00","100","0","12770000","19330000","27500000","1"
"2025-06-05 00:16:00","100","0","16400000","19160000","28590000","1"
"2025-06-05 00:18:00","100","0","13180000","18910000","26640000","1"
"2025-06-05 00:20:00","100","0","12870000","19000000","26520000","1"
"2025-06-05 00:21:00","100","0","13780000","19190000","31900000","1"
"2025-06-05 00:23:00","100","0","12820000","19740000","29750000","1"
"2025-06-05 00:25:00","100","0","16160000","19720000","31400000","1"
"2025-06-05 00:26:00","100","0","13380000","19590000","28040000","1"
"2025-06-05 00:28:00","100","0","12950000","19780000","29770000","1"
"2025-06-05 00:30:00","100","0","13020000","19240000","28410000","1"
"2025-06-05 00:31:00","100","0","12970000","20240000","35710000","1"
"2025-06-05 00:33:00","100","0","12980000","19180000","30820000","1"
"2025-06-05 00:35:00","100","0","12560000","19420000","30380000","1"
"2025-06-05 00:36:00","100","3","13140000","18850000","25810000","301"
"2025-06-05 00:38:00","100","1","16310000","19160000","26540000","201"
"2025-06-05 00:40:00","100","0","13610000","18870000","26120000","1"
"2025-06-05 00:41:00","100","0","14740000","18740000","27110000","1"
"2025-06-05 00:43:00","100","0","16590000","19090000","27120000","1"
"2025-06-05 00:45:00","100","1","16230000","18890000","25250000","201"
"2025-06-05 00:46:00","100","0","13630000","18790000","27360000","1"
"2025-06-05 00:48:00","100","0","12070000","19520000","29660000","1"
