"Timestamp","Sent Polls","Lost Polls","Min Latency (ns)","Ave Latency (ns)","Max Latency (ns)","Score"
"2025-06-29 00:00:00","100","0","16570000","18680000","25520000","1"
"2025-06-29 00:01:00","100","0","16600000","18400000","24210000","1"
"2025-06-29 00:03:00","100","0","14880000","18530000","27830000","1"
"2025-06-29 00:05:00","100","0","13490000","18450000","26770000","1"
"2025-06-29 00:06:00","100","0","16490000","19350000","28080000","1"
"2025-06-29 00:08:00","100","0","14630000","18680000","24850000","1"
"2025-06-29 00:10:00","100","1","14230000","18540000","27250000","201"
"2025-06-29 00:11:00","100","2","14280000","18950000","28010000","201"
"2025-06-29 00:13:00","100","0","16440000","17980000","26300000","1"
"2025-06-29 00:15:00","100","0","15350000","17730000","23310000","1"
"2025-06-29 00:16:00","100","0","16260000","18170000","24990000","1"
"2025-06-29 00:18:00","100","0","15480000","18420000","28280000","1"
"2025-06-29 00:20:00","100","0","15840000","18120000","24540000","1"
"2025-06-29 00:21:00","100","0","15780000","17580000","23640000","1"
"2025-06-29 00:23:00","100","1","14310000","18300000","33310000","201"
"2025-06-29 00:25:00","100","0","16250000","18070000","26350000","1"
"2025-06-29 00:26:00","100","0","16400000","18580000","33500000","1"
"2025-06-29 00:28:00","100","0","14380000","17980000","26690000","1"
"2025-06-29 00:30:00","100","0","14300000","17640000","27180000","1"
"2025-06-29 00:31:00","100","0","16470000","18010000","27460000","1"
"2025-06-29 00:33:00","100","0","16150000","18580000","30310000","1"
"2025-06-29 00:35:00","100","1","16280000","22820000","77530000","201"
"2025-06-29 00:36:00","100","2","16490000","22320000","70310000","201"
"2025-06-29 00:38:00","100","2","14720000","20880000","28410000","201"
"2025-06-29 00:40:00","100","1","16620000","28820000","151800000","201"
"2025-06-29 00:41:00","100","0","15960000","20780000","76500000","1"
"2025-06-29 00:43:00","100","0","14830000","23870000","131200000","1"
"2025-06-29 00:45:00","100","4","14810000","19640000","29230000","301"
"2025-06-29 00:46:00","100","0","16480000","31300000","211600000","1"
"2025-06-29 00:48:00","100","0","13890000","21890000","96390000","1"
"2025-06-29 00:50:00","100","2","16370000","20280000","39050000","201"
"2025-06-29 00:51:00","100","0","16480000","17880000","26640000","1"
"2025-06-29 00:53:00","100","0","16390000","18060000","27050000","1"
"2025-06-29 00:55:00","100","1","15200000","18260000","27840000","201"
"2025-06-29 00:56:00","100","0","12560000","17970000","24970000","1"
"2025-06-29 00:58:00","100","0","16320000","17890000","25570000","1"
"2025-06-29 01:00:00","100","0","16320000","18780000","25810000","1"
"2025-06-29 01:01:00","100","0","15450000","19200000","34850000","1"
"2025-06-29 01:03:00","100","0","15160000","18830000","24200000","1"
"2025-06-29 01:05:00","100","0","14630000","19110000","27310000","1"
"2025-06-29 01:06:00","100","0","13830000","18780000","33200000","1"
"2025-06-29 01:08:00","100","0","16580000","19610000","34080000","1"
"2025-06-29 01:10:00","100","0","13120000","19200000","26920000","1"
"2025-06-29 01:11:00","100","0","15180000","19230000","28690000","1"
"2025-06-29 01:13:00","100","0","15320000","19230000","31280000","1"
"2025-06-29 01:15:00","100","0","12730000","19110000","28030000","1"
"2025-06-29 01:16:00","100","0","13020000","19180000","25400000","1"
"2025-06-29 01:18:00","100","0","15240000","19250000","25610000","1"
"2025-06-29 01:20:00","100","0","18310000","19220000","25810000","1"
"2025-06-29 01:21:00","100","0","13000000","19230000","27400000","1"
"2025-06-29 01:23:00","100","0","12760000","19910000","47430000","1"
"2025-06-29 01:25:00","100","0","12460000","19250000","25790000","1"
"2025-06-29 01:26:00","100","0","15360000","19830000","25860000","1"
"2025-06-29 01:28:00","100","0","17250000","19830000","35000000","1"
"2025-06-29 01:30:00","100","0","14340000","19360000","26690000","1"
"2025-06-29 01:31:00","100","0","16340000","19220000","25750000","1"
"2025-06-29 01:33:00","100","0","16720000","19210000","24990000","1"
"2025-06-29 01:35:00","100","0","13630000","19540000","26400000","1"
"2025-06-29 01:36:00","100","0","13100000","19270000","28380000","1"
"2025-06-29 01:38:00","100","0","15440000","19730000","29230000","1"
"2025-06-29 01:40:00","100","0","13330000","19590000","30750000","1"
"2025-06-29 01:41:00","100","0","13000000","19380000","28050000","1"
"2025-06-29 01:43:00","100","0","15210000","19210000","26450000","1"
