"Timestamp","Sent Polls","Lost Polls","Min Latency (ns)","Ave Latency (ns)","Max Latency (ns)","Score"
"2026-01-28 00:00:00","100","0","9972000","20730000","133300000","1"
"2026-01-28 00:01:00","100","0","10880000","15880000","31730000","1"
"2026-01-28 00:03:00","100","0","9567000","15680000","24050000","1"
"2026-01-28 00:05:00","100","0","11370000","16230000","34790000","1"
"2026-01-28 00:06:00","100","0","13270000","16450000","22260000","1"
"2026-01-28 00:08:00","100","0","12450000","16340000","24860000","1"
"2026-01-28 00:10:00","100","0","12200000","18770000","81520000","1"
"2026-01-28 00:11:00","100","0","9309000","18560000","47650000","1"
"2026-01-28 00:13:00","100","0","13410000","16580000","36340000","1"
"2026-01-28 00:15:00","100","0","10400000","15950000","20990000","1"
"2026-01-28 00:16:00","100","0","9812000","16200000","23060000","1"
"2026-01-28 00:18:00","100","0","9476000","16430000","23110000","1"
"2026-01-28 00:20:00","100","0","13060000","16240000","25470000","1"
"2026-01-28 00:21:00","100","0","9450000","15890000","32410000","1"
"2026-01-28 00:23:00","100","0","10750000","16170000","41540000","1"
"2026-01-28 00:25:00","100","0","13340000","16300000","45440000","1"
"2026-01-28 00:26:00","100","0","13360000","16450000","23220000","1"
"2026-01-28 00:28:00","100","0","13350000","16280000","27770000","1"
"2026-01-28 00:30:00","100","0","9470000","16090000","25890000","1"
"2026-01-28 00:31:00","100","0","13530000","16110000","22760000","1"
"2026-01-28 00:33:00","100","0","9462000","16170000","23720000","1"
"2026-01-28 00:35:00","100","0","9590000","15810000","20640000","1"
"2026-01-28 00:36:00","100","0","13350000","15480000","22380000","1"
"2026-01-28 00:38:00","100","0","10070000","15750000","38570000","1"
"2026-01-28 00:40:00","100","0","10520000","15770000","20180000","1"
"2026-01-28 00:41:00","100","0","10620000","15900000","35830000","1"
"2026-01-28 00:43:00","100","0","9458000","15850000","23200000","1"
"2026-01-28 00:45:00","100","0","13430000","16090000","31240000","1"
"2026-01-28 00:46:00","100","0","11280000","16570000","42450000","1"
"2026-01-28 00:48:00","100","0","13470000","16210000","31220000","1"
"2026-01-28 00:50:00","100","0","11380000","15840000","25950000","1"
"2026-01-28 00:51:00","100","0","10650000","15700000","23800000","1"
"2026-01-28 00:53:00","100","0","10550000","15800000","29350000","1"
"2026-01-28 00:55:00","100","0","11020000","15740000","25750000","1"
"2026-01-28 00:56:00","100","0","9837000","17200000","49420000","1"
"2026-01-28 00:58:00","100","0","10660000","16510000","36180000","1"
"2026-01-28 01:00:00","100","0","10020000","15660000","29140000","1"
"2026-01-28 01:01:00","100","0","10410000","15700000","24010000","1"
"2026-01-28 01:03:00","100","0","13440000","16040000","26880000","1"
"2026-01-28 01:05:00","100","0","11060000","16060000","33180000","1"
"2026-01-28 01:06:00","100","0","10040000","15890000","26030000","1"
"2026-01-28 01:08:00","100","0","10610000","15940000","23640000","1"
"2026-01-28 01:10:00","100","0","10170000","17750000","32460000","1"
"2026-01-28 01:11:00","100","0","10120000","15970000","36640000","1"
"2026-01-28 01:13:00","100","0","9253000","16290000","26110000","1"
"2026-01-28 01:15:00","100","0","11060000","16430000","29940000","1"
"2026-01-28 01:16:00","100","0","10230000","15890000","26790000","1"
"2026-01-28 01:18:00","100","0","10060000","16080000","26740000","1"
"2026-01-28 01:20:00","100","0","11460000","16500000","42350000","1"
"2026-01-28 01:21:00","100","0","13370000","16550000","59700000","1"
"2026-01-28 01:23:00","100","0","11060000","16250000","29450000","1"
"2026-01-28 01:25:00","100","0","11390000","15940000","27020000","1"
"2026-01-28 01:26:00","100","0","10270000","16230000","29780000","1"
"2026-01-28 01:28:00","100","0","10830000","16410000","32900000","1"
"2026-01-28 01:30:00","100","0","10270000","16210000","29620000","1"
"2026-01-28 01:31:00","100","0","10430000","16640000","36150000","1"
"2026-01-28 01:33:00","100","0","10360000","16630000","30230000","1"
"2026-01-28 01:35:00","100","0","11080000","16640000","30490000","1"
"2026-01-28 01:36:00","100","0","10320000","16130000","29590000","1"
"2026-01-28 01:38:00","100","0","10620000","16530000","36240000","1"
"2026-01-28 01:40:00","100","0","11100000","16800000","39250000","1"
"2026-01-28 01:41:00","100","0","10410000","15880000","30250000","1"
"2026-01-28 01:43:00","100","0","10390000","17520000","39340000","1"
"2026-01-28 01:45:00","100","0","13440000","16770000","32810000","1"
"2026-01-28 01:46:00","100","0","13520000","16230000","33490000","1"
"2026-01-28 01:48:00","100","0","11220000","16400000","30710000","1"
"2026-01-28 01:50:00","100","0","13440000","16030000","36610000","1"
"2026-01-28 01:51:00","100","0","10760000","16250000","43250000","1"
"2026-01-28 01:53:00","100","0","10820000","17570000","36040000","1"
"2026-01-28 01:55:00","100","0","10500000","16340000","36540000","1"
"2026-01-28 01:56:00","100","0","13640000","16500000","36260000","1"
"2026-01-28 01:58:00","100","0","13490000","16420000","33230000","1"
"2026-01-28 02:00:00","100","0","10480000","17540000","43440000","1"
"2026-01-28 02:01:00","100","0","11350000","16930000","37060000","1"
"2026-01-28 02:03:00","100","0","10450000","16430000","40320000","1"
"2026-01-28 02:05:00","100","0","13550000","16320000","36070000","1"
"2026-01-28 02:06:00","100","0","11320000","16420000","36900000","1"
"2026-01-28 02:08:00","100","0","10930000","16900000","56390000","1"
"2026-01-28 02:10:00","100","0","13750000","15910000","44220000","1"
"2026-01-28 02:11:00","100","0","13640000","15390000","37080000","1"
"2026-01-28 02:13:00","100","0","13700000","15370000","33700000","1"
"2026-01-28 02:15:00","100","0","13640000","16290000","39270000","1"
"2026-01-28 02:16:00","100","0","10820000","16510000","39500000","1"
"2026-01-28 02:18:00","100","0","11500000","15820000","39670000","1"
"2026-01-28 02:20:00","100","0","10670000","16610000","37040000","1"
"2026-01-28 02:21:00","100","0","13760000","15660000","36490000","1"
"2026-01-28 02:23:00","100","0","13420000","15210000","42660000","1"
"2026-01-28 02:25:00","100","0","10920000","16150000","39490000","1"
"2026-01-28 02:26:00","100","0","13790000","16550000","39510000","1"
"2026-01-28 02:28:00","100","0","13320000","16520000","40360000","1"
"2026-01-28 02:30:00","100","0","11120000","16950000","40310000","1"
"2026-01-28 02:31:00","100","0","13340000","16820000","40510000","1"
"2026-01-28 02:33:00","100","0","11500000","17120000","39690000","1"
"2026-01-28 02:35:00","100","0","13890000","16590000","40330000","1"
"2026-01-28 02:36:00","100","0","13420000","17390000","42880000","1"
"2026-01-28 02:38:00","100","0","10130000","21290000","67480000","1"
"2026-01-28 02:40:00","100","0","13690000","15390000","43270000","1"
"2026-01-28 02:41:00","100","0","12570000","15180000","44110000","1"
"2026-01-28 02:43:00","100","0","12110000","15540000","40450000","1"
"2026-01-28 02:45:00","100","0","9793000","15270000","40040000","1"
"2026-01-28 02:46:00","100","0","11770000","15730000","43140000","1"
"2026-01-28 02:48:00","100","0","9388000","15640000","27170000","1"
"2026-01-28 02:50:00","100","0","13400000","15480000","42870000","1"
"2026-01-28 02:51:00","100","0","11890000","15310000","23080000","1"
"2026-01-28 02:53:00","100","0","13400000","15720000","43880000","1"
"2026-01-28 02:55:00","100","0","13660000","15240000","43170000","1"
"2026-01-28 02:56:00","100","0","11040000","15260000","34390000","1"
"2026-01-28 02:58:00","100","0","11080000","15830000","30410000","1"
"2026-01-28 03:00:00","100","0","11210000","15470000","22280000","1"
"2026-01-28 03:01:00","100","0","12250000","15300000","21970000","1"
"2026-01-28 03:03:00","100","0","12170000","15480000","37580000","1"
"2026-01-28 03:05:00","100","0","11790000","15060000","35060000","1"
"2026-01-28 03:06:00","100","0","11750000","15340000","24760000","1"
"2026-01-28 03:08:00","100","0","9992000","15160000","34670000","1"
"2026-01-28 03:10:00","100","0","13890000","15210000","28230000","1"
"2026-01-28 03:11:00","100","0","12020000","15150000","21710000","1"
"2026-01-28 03:13:00","100","0","9442000","15110000","21630000","1"
"2026-01-28 03:15:00","100","0","11600000","15320000","27320000","1"
"2026-01-28 03:16:00","100","0","12120000","15440000","27450000","1"
"2026-01-28 03:18:00","100","0","9361000","15420000","22490000","1"
"2026-01-28 03:20:00","100","0","11320000","15280000","24240000","1"
"2026-01-28 03:21:00","100","0","9418000","15840000","31390000","1"
"2026-01-28 03:23:00","100","0","11380000","15480000","21900000","1"
"2026-01-28 03:25:00","100","0","13780000","15510000","24910000","1"
"2026-01-28 03:26:00","100","0","11980000","15150000","25020000","1"
"2026-01-28 03:28:00","100","0","11150000","15920000","37610000","1"
"2026-01-28 03:30:00","100","0","12310000","15400000","21860000","1"
"2026-01-28 03:31:00","100","0","13560000","15560000","37040000","1"
"2026-01-28 03:33:00","100","0","11200000","15310000","21000000","1"
"2026-01-28 03:35:00","100","0","14350000","15500000","24980000","1"
"2026-01-28 03:36:00","100","0","11830000","16940000","43250000","1"
"2026-01-28 03:38:00","100","0","12210000","15480000","22340000","1"
"2026-01-28 03:40:00","100","0","14450000","15630000","27320000","1"
"2026-01-28 03:41:00","100","0","8971000","15840000","34520000","1"
"2026-01-28 03:43:00","100","0","9166000","16270000","31600000","1"
"2026-01-28 03:45:00","100","0","9374000","15800000","34570000","1"
"2026-01-28 03:46:00","100","0","9995000","15940000","34020000","1"
"2026-01-28 03:48:00","100","0","9319000","15690000","34760000","1"
"2026-01-28 03:50:00","100","0","14550000","15710000","24150000","1"
"2026-01-28 03:51:00","100","0","12030000","15810000","54020000","1"
"2026-01-28 03:53:00","100","0","11620000","15460000","25470000","1"
"2026-01-28 03:55:00","100","0","9303000","15630000","24500000","1"
"2026-01-28 03:56:00","100","0","12530000","16230000","24590000","1"
"2026-01-28 03:58:00","100","0","12630000","15570000","22300000","1"
"2026-01-28 04:00:00","100","0","9809000","16350000","43610000","1"
"2026-01-28 04:01:00","100","0","9273000","15850000","35430000","1"
"2026-01-28 04:03:00","100","0","14400000","16110000","39330000","1"
"2026-01-28 04:05:00","100","0","9253000","16080000","37920000","1"
"2026-01-28 04:06:00","100","0","14710000","15770000","22150000","1"
"2026-01-28 04:08:00","100","0","14730000","15670000","22610000","1"
