"Timestamp","Sent Polls","Lost Polls","Min Latency (ns)","Ave Latency (ns)","Max Latency (ns)","Score"
"2025-07-17 00:00:00","100","0","14050000","18940000","27390000","1"
"2025-07-17 00:01:00","100","0","13300000","18640000","27450000","1"
"2025-07-17 00:03:00","100","0","13390000","18660000","30790000","1"
"2025-07-17 00:05:00","100","0","12700000","18550000","26370000","1"
"2025-07-17 00:06:00","100","0","14110000","18930000","25290000","1"
"2025-07-17 00:08:00","100","0","12420000","18750000","27420000","1"
"2025-07-17 00:10:00","100","0","14580000","18560000","27540000","1"
"2025-07-17 00:11:00","100","0","14230000","18490000","30150000","1"
"2025-07-17 00:13:00","100","0","15090000","18860000","27040000","1"
"2025-07-17 00:15:00","100","0","11830000","18550000","28030000","1"
"2025-07-17 00:16:00","100","0","14880000","18220000","25300000","1"
"2025-07-17 00:18:00","100","0","14150000","18830000","25700000","1"
"2025-07-17 00:20:00","100","0","14300000","18390000","27940000","1"
"2025-07-17 00:21:00","100","0","16990000","18860000","25820000","1"
"2025-07-17 00:23:00","100","0","14270000","19210000","30080000","1"
"2025-07-17 00:25:00","100","0","12900000","18280000","27880000","1"
"2025-07-17 00:26:00","100","0","12330000","18340000","27820000","1"
"2025-07-17 00:28:00","100","0","14290000","18790000","27010000","1"
"2025-07-17 00:30:00","100","0","17000000","18860000","28450000","1"
"2025-07-17 00:31:00","100","0","12810000","18930000","30560000","1"
"2025-07-17 00:33:00","100","0","13240000","22020000","41040000","1"
"2025-07-17 00:35:00","100","0","13090000","21210000","43740000","1"
"2025-07-17 00:36:00","100","0","15470000","19360000","27270000","1"
"2025-07-17 00:38:00","100","0","14430000","19330000","34110000","1"
"2025-07-17 00:40:00","100","0","15200000","19310000","30810000","1"
"2025-07-17 00:41:00","100","0","15170000","19720000","34070000","1"
"2025-07-17 00:43:00","100","0","15350000","19200000","25140000","1"
"2025-07-17 00:45:00","100","0","15460000","19070000","27240000","1"
"2025-07-17 00:46:00","100","0","12260000","18930000","28100000","1"
"2025-07-17 00:48:00","100","0","12700000","19250000","29870000","1"
"2025-07-17 00:50:00","100","0","14540000","18940000","28160000","1"
"2025-07-17 00:51:00","100","0","15440000","19220000","37730000","1"
"2025-07-17 00:53:00","100","0","12760000","19220000","27290000","1"
"2025-07-17 00:55:00","100","0","14580000","19210000","28970000","1"
"2025-07-17 00:56:00","100","0","14890000","19230000","25140000","1"
"2025-07-17 00:58:00","100","0","15830000","18920000","25240000","1"
"2025-07-17 01:00:00","100","0","13280000","19240000","27660000","1"
"2025-07-17 01:01:00","100","0","12430000","19520000","28440000","1"
"2025-07-17 01:03:00","100","0","13690000","19470000","25170000","1"
"2025-07-17 01:05:00","100","0","13010000","19060000","24790000","1"
"2025-07-17 01:06:00","100","0","13520000","18990000","27430000","1"
"2025-07-17 01:08:00","100","0","12100000","19070000","34390000","1"
"2025-07-17 01:10:00","100","0","14830000","18890000","31380000","1"
"2025-07-17 01:11:00","100","0","13050000","19280000","25360000","1"
"2025-07-17 01:13:00","100","0","12490000","19850000","30650000","1"
"2025-07-17 01:15:00","100","0","13240000","19330000","31320000","1"
"2025-07-17 01:16:00","100","0","14650000","19130000","25800000","1"
"2025-07-17 01:18:00","100","0","12550000","19030000","27720000","1"
"2025-07-17 01:20:00","100","0","12820000","19350000","25430000","1"
"2025-07-17 01:21:00","100","0","16880000","19140000","24590000","1"
"2025-07-17 01:23:00","100","0","12610000","19290000","29540000","1"
"2025-07-17 01:25:00","100","0","12670000","19250000","25710000","1"
