"Timestamp","Sent Polls","Lost Polls","Min Latency (ns)","Ave Latency (ns)","Max Latency (ns)","Score"
"2025-06-15 00:00:00","100","0","14890000","18950000","25740000","1"
"2025-06-15 00:01:00","100","0","13100000","18630000","27830000","1"
"2025-06-15 00:03:00","100","0","12730000","18580000","25160000","1"
"2025-06-15 00:05:00","100","0","15150000","18680000","25260000","1"
"2025-06-15 00:06:00","100","0","16550000","18900000","26680000","1"
"2025-06-15 00:08:00","100","0","13730000","19100000","29710000","1"
"2025-06-15 00:10:00","100","0","16800000","18840000","27650000","1"
"2025-06-15 00:11:00","100","0","16640000","18870000","25810000","1"
"2025-06-15 00:13:00","100","0","13060000","18820000","37140000","1"
"2025-06-15 00:15:00","100","0","13500000","18890000","27760000","1"
"2025-06-15 00:16:00","100","0","12840000","18870000","25790000","1"
"2025-06-15 00:18:00","100","0","12420000","19150000","25670000","1"
"2025-06-15 00:20:00","100","0","13550000","19190000","25270000","1"
"2025-06-15 00:21:00","100","0","12350000","19550000","31350000","1"
"2025-06-15 00:23:00","100","0","12880000","19520000","28290000","1"
"2025-06-15 00:25:00","100","0","13110000","19290000","25970000","1"
"2025-06-15 00:26:00","100","0","12920000","19070000","25580000","1"
"2025-06-15 00:28:00","100","0","12340000","19510000","28230000","1"
"2025-06-15 00:30:00","100","0","12390000","19030000","25970000","1"
"2025-06-15 00:31:00","100","0","16740000","19110000","25240000","1"
"2025-06-15 00:33:00","100","0","15260000","19590000","31240000","1"
"2025-06-15 00:35:00","100","0","12390000","19430000","27160000","1"
"2025-06-15 00:36:00","100","0","15300000","19520000","28100000","1"
"2025-06-15 00:38:00","100","0","15530000","19220000","25040000","1"
"2025-06-15 00:40:00","100","0","15440000","19220000","25950000","1"
"2025-06-15 00:41:00","100","0","13010000","19290000","25970000","1"
"2025-06-15 00:43:00","100","0","12300000","19080000","28350000","1"
"2025-06-15 00:45:00","100","0","15470000","19210000","33710000","1"
"2025-06-15 00:46:00","100","0","13250000","19040000","25930000","1"
"2025-06-15 00:48:00","100","0","13280000","19010000","22680000","1"
"2025-06-15 00:50:00","100","0","15390000","19440000","25050000","1"
"2025-06-15 00:51:00","100","0","12390000","19420000","26140000","1"
"2025-06-15 00:53:00","100","0","13270000","19610000","26020000","1"
"2025-06-15 00:55:00","100","0","17030000","19470000","26540000","1"
"2025-06-15 00:56:00","100","0","12190000","19260000","28300000","1"
"2025-06-15 00:58:00","100","0","13090000","19530000","26090000","1"
"2025-06-15 01:00:00","100","0","16080000","19400000","37810000","1"
"2025-06-15 01:01:00","100","0","12870000","19020000","32070000","1"
"2025-06-15 01:03:00","100","0","16870000","19260000","26730000","1"
"2025-06-15 01:05:00","100","0","14580000","19200000","28840000","1"
"2025-06-15 01:06:00","100","0","13840000","19010000","26030000","1"
"2025-06-15 01:08:00","100","0","13710000","18870000","30940000","1"
"2025-06-15 01:10:00","100","0","13290000","19650000","28320000","1"
"2025-06-15 01:11:00","100","0","16400000","19640000","32640000","1"
"2025-06-15 01:13:00","100","0","13280000","19590000","25660000","1"
"2025-06-15 01:15:00","100","0","16470000","19720000","30940000","1"
"2025-06-15 01:16:00","100","0","12530000","19720000","26200000","1"
"2025-06-15 01:18:00","100","0","13180000","19410000","25510000","1"
"2025-06-15 01:20:00","100","0","12620000","19070000","25950000","1"
"2025-06-15 01:21:00","100","0","15630000","19480000","29500000","1"
"2025-06-15 01:23:00","100","0","16250000","19330000","26170000","1"
"2025-06-15 01:25:00","100","0","15840000","20050000","30850000","1"
"2025-06-15 01:26:00","100","0","13250000","19590000","26190000","1"
"2025-06-15 01:28:00","100","0","13490000","19530000","28770000","1"
"2025-06-15 01:30:00","100","0","15640000","19330000","22350000","1"
"2025-06-15 01:31:00","100","0","12490000","19330000","26310000","1"
"2025-06-15 01:33:00","100","0","12570000","19330000","26270000","1"
"2025-06-15 01:35:00","100","0","12530000","19460000","25940000","1"
"2025-06-15 01:36:00","100","0","12460000","19340000","25550000","1"
"2025-06-15 01:38:00","100","1","15700000","19570000","32590000","201"
"2025-06-15 01:40:00","100","0","13450000","19440000","25440000","1"
"2025-06-15 01:41:00","100","0","16460000","19450000","26320000","1"
"2025-06-15 01:43:00","100","0","13260000","19460000","26770000","1"
"2025-06-15 01:45:00","100","0","12610000","19140000","23190000","1"
"2025-06-15 01:46:00","100","0","16570000","19720000","26630000","1"
"2025-06-15 01:48:00","100","0","12740000","19630000","26330000","1"
"2025-06-15 01:50:00","100","0","12570000","19330000","25600000","1"
"2025-06-15 01:51:00","100","1","16630000","19530000","25430000","201"
"2025-06-15 01:53:00","100","1","16660000","19460000","25420000","201"
"2025-06-15 01:55:00","100","0","14580000","19700000","26390000","1"
"2025-06-15 01:56:00","100","1","15900000","20050000","28460000","201"
"2025-06-15 01:58:00","100","0","16520000","19710000","26940000","1"
"2025-06-15 02:00:00","100","0","13410000","19010000","25430000","1"
"2025-06-15 02:01:00","100","0","14340000","19040000","28980000","1"
"2025-06-15 02:03:00","100","0","13430000","18900000","23250000","1"
"2025-06-15 02:05:00","100","0","15890000","19300000","26630000","1"
"2025-06-15 02:06:00","100","0","16590000","19050000","24610000","1"
"2025-06-15 02:08:00","100","1","12990000","19060000","23030000","201"
"2025-06-15 02:10:00","100","0","13610000","19460000","23390000","1"
"2025-06-15 02:11:00","100","0","12690000","19300000","25950000","1"
"2025-06-15 02:13:00","100","0","13110000","19590000","26220000","1"
"2025-06-15 02:15:00","100","0","13770000","19520000","26470000","1"
"2025-06-15 02:16:00","100","0","13820000","19320000","26520000","1"
"2025-06-15 02:18:00","100","0","15920000","19330000","26350000","1"
"2025-06-15 02:20:00","100","0","12680000","19160000","25570000","1"
"2025-06-15 02:21:00","100","0","13570000","19360000","25620000","1"
"2025-06-15 02:23:00","100","0","13560000","19540000","26630000","1"
"2025-06-15 02:25:00","100","0","16150000","19480000","26400000","1"
"2025-06-15 02:26:00","100","0","16690000","19540000","26570000","1"
"2025-06-15 02:28:00","100","0","15990000","19550000","25750000","1"
"2025-06-15 02:30:00","100","0","16740000","19640000","26510000","1"
"2025-06-15 02:31:00","100","0","15940000","19360000","26080000","1"
"2025-06-15 02:33:00","100","1","16150000","19180000","36680000","201"
