"Timestamp","Sent Polls","Lost Polls","Min Latency (ns)","Ave Latency (ns)","Max Latency (ns)","Score"
"2025-06-11 00:00:00","100","0","15850000","18980000","24180000","1"
"2025-06-11 00:01:00","100","0","12550000","18820000","26280000","1"
"2025-06-11 00:03:00","100","0","16680000","19290000","25300000","1"
"2025-06-11 00:05:00","100","0","12420000","19260000","31780000","1"
"2025-06-11 00:06:00","100","0","14020000","19200000","26720000","1"
"2025-06-11 00:08:00","100","0","15710000","18840000","26930000","1"
"2025-06-11 00:10:00","100","0","12690000","19290000","27900000","1"
"2025-06-11 00:11:00","100","0","13010000","19110000","30560000","1"
"2025-06-11 00:13:00","100","0","16850000","19300000","29060000","1"
"2025-06-11 00:15:00","100","0","16470000","19180000","26080000","1"
"2025-06-11 00:16:00","100","0","16370000","18930000","26380000","1"
"2025-06-11 00:18:00","100","0","13350000","18700000","27040000","1"
"2025-06-11 00:20:00","100","0","13320000","18930000","26850000","1"
"2025-06-11 00:21:00","100","0","13240000","18980000","26930000","1"
"2025-06-11 00:23:00","100","0","13380000","18770000","26970000","1"
"2025-06-11 00:25:00","100","0","13390000","18950000","37270000","1"
"2025-06-11 00:26:00","100","0","13680000","18810000","26180000","1"
"2025-06-11 00:28:00","100","0","13510000","18950000","26560000","1"
"2025-06-11 00:30:00","100","0","14300000","18690000","26290000","1"
"2025-06-11 00:31:00","100","0","13410000","18860000","26070000","1"
"2025-06-11 00:33:00","100","0","14300000","18940000","27040000","1"
"2025-06-11 00:35:00","100","0","13420000","18790000","27060000","1"
"2025-06-11 00:36:00","100","0","13440000","19330000","32760000","1"
"2025-06-11 00:38:00","100","0","13430000","19100000","29000000","1"
"2025-06-11 00:40:00","100","0","13990000","18890000","26170000","1"
"2025-06-11 00:41:00","100","0","12490000","18760000","26290000","1"
"2025-06-11 00:43:00","100","0","13380000","18960000","32700000","1"
"2025-06-11 00:45:00","100","0","16550000","19460000","26470000","1"
"2025-06-11 00:46:00","100","0","13700000","19400000","27790000","1"
"2025-06-11 00:48:00","100","0","14440000","19030000","26340000","1"
"2025-06-11 00:50:00","100","0","13710000","18690000","26460000","1"
"2025-06-11 00:51:00","100","0","16660000","18890000","26270000","1"
"2025-06-11 00:53:00","100","0","13650000","18870000","27000000","1"
"2025-06-11 00:55:00","100","0","16660000","18960000","27290000","1"
"2025-06-11 00:56:00","100","0","13670000","18830000","27210000","1"
"2025-06-11 00:58:00","100","0","16780000","18880000","29570000","1"
"2025-06-11 01:00:00","100","0","13480000","18490000","24120000","1"
"2025-06-11 01:01:00","100","1","12340000","18710000","26450000","201"
"2025-06-11 01:03:00","100","0","15720000","19220000","27220000","1"
"2025-06-11 01:05:00","100","0","14170000","19060000","36190000","1"
"2025-06-11 01:06:00","100","0","16320000","18720000","26180000","1"
"2025-06-11 01:08:00","100","0","13010000","18450000","25230000","1"
"2025-06-11 01:10:00","100","0","13870000","19000000","28140000","1"
"2025-06-11 01:11:00","100","0","13890000","18630000","24350000","1"
"2025-06-11 01:13:00","100","0","16870000","18360000","24320000","1"
"2025-06-11 01:15:00","100","0","15630000","18300000","25280000","1"
"2025-06-11 01:16:00","100","0","16920000","18460000","27820000","1"
"2025-06-11 01:18:00","100","0","14670000","18360000","27590000","1"
"2025-06-11 01:20:00","100","0","13740000","18960000","27500000","1"
"2025-06-11 01:21:00","100","0","13850000","18400000","24440000","1"
"2025-06-11 01:23:00","100","0","13970000","18040000","24430000","1"
"2025-06-11 01:25:00","100","0","14120000","18090000","25010000","1"
"2025-06-11 01:26:00","100","0","13880000","18360000","26560000","1"
"2025-06-11 01:28:00","100","0","13800000","18870000","28420000","1"
"2025-06-11 01:30:00","100","0","17020000","18690000","27890000","1"
"2025-06-11 01:31:00","100","0","14150000","18060000","24920000","1"
"2025-06-11 01:33:00","100","1","17020000","18360000","24620000","201"
"2025-06-11 01:35:00","100","0","14720000","18580000","27850000","1"
"2025-06-11 01:36:00","100","0","14480000","22540000","40020000","1"
"2025-06-11 01:38:00","100","0","12870000","20980000","46510000","1"
"2025-06-11 01:40:00","100","0","17080000","18220000","24730000","1"
"2025-06-11 01:41:00","100","0","14900000","18170000","34030000","1"
"2025-06-11 01:43:00","100","0","17130000","18170000","23840000","1"
"2025-06-11 01:45:00","100","0","14920000","18330000","24640000","1"
"2025-06-11 01:46:00","100","0","13990000","18310000","24690000","1"
"2025-06-11 01:48:00","100","0","17180000","18350000","24380000","1"
"2025-06-11 01:50:00","100","0","17170000","18220000","24700000","1"
"2025-06-11 01:51:00","100","0","15070000","18040000","24050000","1"
"2025-06-11 01:53:00","100","0","15120000","18390000","27320000","1"
"2025-06-11 01:55:00","100","0","15640000","18310000","24720000","1"
"2025-06-11 01:56:00","100","0","16630000","18560000","27910000","1"
"2025-06-11 01:58:00","100","0","14530000","18310000","27870000","1"
"2025-06-11 02:00:00","100","0","12770000","18590000","30010000","1"
"2025-06-11 02:01:00","100","0","13920000","18620000","27020000","1"
"2025-06-11 02:03:00","100","0","12780000","18750000","27960000","1"
"2025-06-11 02:05:00","100","0","15240000","18710000","23670000","1"
"2025-06-11 02:06:00","100","0","14230000","18300000","23340000","1"
"2025-06-11 02:08:00","100","0","15150000","18410000","23520000","1"
