"Timestamp","Sent Polls","Lost Polls","Min Latency (ns)","Ave Latency (ns)","Max Latency (ns)","Score"
"2025-08-22 00:00:00","100","0","17690000","20750000","30810000","1"
"2025-08-22 00:01:00","100","0","14630000","20390000","28910000","1"
"2025-08-22 00:03:00","100","0","17770000","21530000","34030000","1"
"2025-08-22 00:05:00","100","0","13560000","20620000","34410000","1"
"2025-08-22 00:06:00","100","0","15870000","21390000","34480000","1"
"2025-08-22 00:08:00","100","0","13410000","21240000","32870000","1"
"2025-08-22 00:10:00","100","0","17560000","20450000","26900000","1"
"2025-08-22 00:11:00","100","0","17030000","20110000","29530000","1"
"2025-08-22 00:13:00","100","0","17560000","20570000","29940000","1"
"2025-08-22 00:15:00","100","0","17010000","20040000","29250000","1"
"2025-08-22 00:16:00","100","0","17700000","21430000","30210000","1"
"2025-08-22 00:18:00","100","0","14920000","20520000","31390000","1"
"2025-08-22 00:20:00","100","0","17050000","21580000","36310000","1"
"2025-08-22 00:21:00","100","0","17700000","20630000","28460000","1"
"2025-08-22 00:23:00","100","0","17740000","20850000","27950000","1"
"2025-08-22 00:25:00","100","0","14020000","20370000","28080000","1"
"2025-08-22 00:26:00","100","0","17800000","21010000","36920000","1"
"2025-08-22 00:28:00","100","0","13900000","20250000","30690000","1"
"2025-08-22 00:30:00","100","0","16560000","24020000","431300000","1"
"2025-08-22 00:31:00","100","0","14680000","20320000","29940000","1"
"2025-08-22 00:33:00","100","0","14700000","20990000","28300000","1"
"2025-08-22 00:35:00","100","0","14010000","22230000","36870000","1"
"2025-08-22 00:36:00","100","0","17800000","21640000","37350000","1"
"2025-08-22 00:38:00","100","0","14790000","21450000","34560000","1"
"2025-08-22 00:40:00","100","0","13990000","23030000","47400000","1"
"2025-08-22 00:41:00","100","0","15130000","21340000","44140000","1"
"2025-08-22 00:43:00","100","0","18100000","22070000","39240000","1"
"2025-08-22 00:45:00","100","0","16560000","20930000","36530000","1"
"2025-08-22 00:46:00","100","0","17610000","21530000","33980000","1"
"2025-08-22 00:48:00","100","0","18150000","22130000","30620000","1"
"2025-08-22 00:50:00","100","0","14250000","21180000","35720000","1"
"2025-08-22 00:51:00","100","0","18020000","21890000","37510000","1"
"2025-08-22 00:53:00","100","0","17600000","22250000","47980000","1"
"2025-08-22 00:55:00","100","0","17990000","21820000","32600000","1"
"2025-08-22 00:56:00","100","0","16070000","22170000","36700000","1"
"2025-08-22 00:58:00","100","0","18020000","23010000","41940000","1"
"2025-08-22 01:00:00","100","0","18040000","20770000","31970000","1"
"2025-08-22 01:01:00","100","0","17240000","20060000","27160000","1"
"2025-08-22 01:03:00","100","0","17950000","21580000","35490000","1"
"2025-08-22 01:05:00","100","0","14050000","21520000","31530000","1"
"2025-08-22 01:06:00","100","0","14980000","21580000","41580000","1"
"2025-08-22 01:08:00","100","0","14040000","20460000","34560000","1"
"2025-08-22 01:10:00","100","0","16680000","19740000","37230000","1"
"2025-08-22 01:11:00","100","0","17600000","21200000","33230000","1"
"2025-08-22 01:13:00","100","0","16800000","21710000","33880000","1"
"2025-08-22 01:15:00","100","0","16740000","22280000","30710000","1"
"2025-08-22 01:16:00","100","0","18440000","23230000","36230000","1"
"2025-08-22 01:18:00","100","0","19050000","21830000","33910000","1"
"2025-08-22 01:20:00","100","0","17750000","22610000","40750000","1"
"2025-08-22 01:21:00","100","0","15770000","24400000","65230000","1"
"2025-08-22 01:23:00","100","0","15330000","25180000","46030000","1"
"2025-08-22 01:25:00","100","0","17190000","23750000","38140000","1"
"2025-08-22 01:26:00","100","0","16560000","23180000","35630000","1"
"2025-08-22 01:28:00","100","0","16130000","22950000","42710000","1"
"2025-08-22 01:30:00","100","0","16280000","22390000","37070000","1"
"2025-08-22 01:31:00","100","0","16580000","22550000","34580000","1"
"2025-08-22 01:33:00","100","0","15590000","23330000","34410000","1"
"2025-08-22 01:35:00","100","0","14540000","22980000","34460000","1"
"2025-08-22 01:36:00","100","0","18400000","22500000","37890000","1"
"2025-08-22 01:38:00","100","0","18850000","23160000","36290000","1"
"2025-08-22 01:40:00","100","0","15210000","22930000","37920000","1"
"2025-08-22 01:41:00","100","0","17850000","22220000","32440000","1"
"2025-08-22 01:43:00","100","0","14600000","21620000","30990000","1"
"2025-08-22 01:45:00","100","0","15350000","22020000","31140000","1"
"2025-08-22 01:46:00","100","0","19230000","22610000","33060000","1"
"2025-08-22 01:48:00","100","0","19170000","23130000","43500000","1"
"2025-08-22 01:50:00","100","0","15620000","21690000","27680000","1"
"2025-08-22 01:51:00","100","0","15490000","21580000","30910000","1"
"2025-08-22 01:53:00","100","0","18770000","22330000","31140000","1"
"2025-08-22 01:55:00","100","0","18850000","22000000","29280000","1"
"2025-08-22 01:56:00","100","0","18900000","22500000","35770000","1"
"2025-08-22 01:58:00","100","0","15460000","21410000","28760000","1"
"2025-08-22 02:00:00","100","0","18860000","21640000","27780000","1"
"2025-08-22 02:01:00","100","0","17660000","22260000","33950000","1"
"2025-08-22 02:03:00","100","0","16080000","22450000","31380000","1"
"2025-08-22 02:05:00","100","0","18780000","22310000","34720000","1"
"2025-08-22 02:06:00","100","0","18120000","21610000","28050000","1"
"2025-08-22 02:08:00","100","0","16560000","21180000","29940000","1"
"2025-08-22 02:10:00","100","0","18620000","21490000","28210000","1"
"2025-08-22 02:11:00","100","0","18800000","21790000","28600000","1"
"2025-08-22 02:13:00","100","0","18100000","21740000","29600000","1"
"2025-08-22 02:15:00","100","0","14650000","21650000","28350000","1"
"2025-08-22 02:16:00","100","0","15010000","22040000","28950000","1"
